circuitId,circuitRef,location,country,lat,lng,raceName,season,round,date,time
bahrain,bahrain_international_circuit,Sakhir,Bahrain,26.0325,50.5106,Bahrain Grand Prix,2023,1,2023-03-05,15:00:00Z
jeddah,jeddah_corniche_circuit,Jeddah,Saudi Arabia,21.6319,39.1044,Saudi Arabian Grand Prix,2023,2,2023-03-19,17:00:00Z
albert_park,albert_park_grand_prix_circuit,Melbourne,Australia,-37.8497,144.968,Australian Grand Prix,2023,3,2023-04-02,05:00:00Z
baku,baku_city_circuit,Baku,Azerbaijan,40.3725,49.8533,Azerbaijan Grand Prix,2023,4,2023-04-30,11:00:00Z
miami,miami_international_autodrome,Miami,USA,25.9581,-80.2389,Miami Grand Prix,2023,5,2023-05-07,19:30:00Z
monaco,circuit_de_monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monaco Grand Prix,2023,6,2023-05-28,13:00:00Z
catalunya,circuit_de_barcelona-catalunya,Montmeló,Spain,41.57,2.26111,Spanish Grand Prix,2023,7,2023-06-04,13:00:00Z
villeneuve,circuit_gilles_villeneuve,Montreal,Canada,45.5,-73.5228,Canadian Grand Prix,2023,8,2023-06-18,18:00:00Z
red_bull_ring,red_bull_ring,Spielberg,Austria,47.2197,14.7647,Austrian Grand Prix,2023,9,2023-07-02,13:00:00Z
silverstone,silverstone_circuit,Silverstone,UK,52.0786,-1.01694,British Grand Prix,2023,10,2023-07-09,14:00:00Z
hungaroring,hungaroring,Budapest,Hungary,47.5789,19.2486,Hungarian Grand Prix,2023,11,2023-07-23,13:00:00Z
spa,circuit_de_spa-francorchamps,Spa,Belgium,50.4372,5.97139,Belgian Grand Prix,2023,12,2023-07-30,13:00:00Z
zandvoort,circuit_park_zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Dutch Grand Prix,2023,13,2023-08-27,13:00:00Z
monza,autodromo_nazionale_di_monza,Monza,Italy,45.6156,9.28111,Italian Grand Prix,2023,14,2023-09-03,13:00:00Z
marina_bay,marina_bay_street_circuit,Marina Bay,Singapore,1.2914,103.864,Singapore Grand Prix,2023,15,2023-09-17,12:00:00Z
suzuka,suzuka_circuit,Suzuka,Japan,34.8431,136.541,Japanese Grand Prix,2023,16,2023-09-24,05:00:00Z
losail,losail_international_circuit,Al Daayen,Qatar,25.49,51.4542,Qatar Grand Prix,2023,17,2023-10-08,17:00:00Z
americas,circuit_of_the_americas,Austin,USA,30.1328,-97.6411,United States Grand Prix,2023,18,2023-10-22,19:00:00Z
rodriguez,autódromo_hermanos_rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City Grand Prix,2023,19,2023-10-29,20:00:00Z
interlagos,autódromo_josé_carlos_pace,São Paulo,Brazil,-23.7036,-46.6997,São Paulo Grand Prix,2023,20,2023-11-05,17:00:00Z
vegas,las_vegas_strip_street_circuit,Las Vegas,United States,36.1147,-115.173,Las Vegas Grand Prix,2023,21,2023-11-19,06:00:00Z
yas_marina,yas_marina_circuit,Abu Dhabi,UAE,24.4672,54.6031,Abu Dhabi Grand Prix,2023,22,2023-11-26,13:00:00Z
