year,round,name,date,time,raceName
2023,1,Bahrain Grand Prix,2023-03-05,15:00:00Z,Bahrain Grand Prix
2023,2,Saudi Arabian Grand Prix,2023-03-19,17:00:00Z,Saudi Arabian Grand Prix
2023,3,Australian Grand Prix,2023-04-02,05:00:00Z,Australian Grand Prix
2023,4,Azerbaijan Grand Prix,2023-04-30,11:00:00Z,Azerbaijan Grand Prix
2023,5,Miami Grand Prix,2023-05-07,19:30:00Z,Miami Grand Prix
2023,6,Monaco Grand Prix,2023-05-28,13:00:00Z,Monaco Grand Prix
2023,7,Spanish Grand Prix,2023-06-04,13:00:00Z,Spanish Grand Prix
2023,8,Canadian Grand Prix,2023-06-18,18:00:00Z,Canadian Grand Prix
2023,9,Austrian Grand Prix,2023-07-02,13:00:00Z,Austrian Grand Prix
2023,10,British Grand Prix,2023-07-09,14:00:00Z,British Grand Prix
2023,11,Hungarian Grand Prix,2023-07-23,13:00:00Z,Hungarian Grand Prix
2023,12,Belgian Grand Prix,2023-07-30,13:00:00Z,Belgian Grand Prix
2023,13,Dutch Grand Prix,2023-08-27,13:00:00Z,Dutch Grand Prix
2023,14,Italian Grand Prix,2023-09-03,13:00:00Z,Italian Grand Prix
2023,15,Singapore Grand Prix,2023-09-17,12:00:00Z,Singapore Grand Prix
2023,16,Japanese Grand Prix,2023-09-24,05:00:00Z,Japanese Grand Prix
2023,17,Qatar Grand Prix,2023-10-08,17:00:00Z,Qatar Grand Prix
2023,18,United States Grand Prix,2023-10-22,19:00:00Z,United States Grand Prix
2023,19,Mexico City Grand Prix,2023-10-29,20:00:00Z,Mexico City Grand Prix
2023,20,São Paulo Grand Prix,2023-11-05,17:00:00Z,São Paulo Grand Prix
2023,21,Las Vegas Grand Prix,2023-11-19,06:00:00Z,Las Vegas Grand Prix
2023,22,Abu Dhabi Grand Prix,2023-11-26,13:00:00Z,Abu Dhabi Grand Prix
